library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	10000	3	0.48917388916015625
THOI	GC	1000	30	10000	4	0.10741329193115234
THOI	GC	1000	30	10000	5	0.5129954814910889
THOI	GC	1000	30	10000	6	2.3334314823150635
THOI	GC	1000	30	10000	7	8.641046524047852
THOI	GC	1000	30	10000	8	30.105037212371826
THOI	GC	1000	30	10000	9	92.91723656654358
THOI	GC	1000	30	10000	10	238.24078178405762
THOI	GC	1000	30	10000	11	515.146758556366
THOI	GC	1000	30	10000	12	1062.006712436676
THOI	GC	1000	30	10000	13	1692.628485918045
THOI	GC	1000	30	10000	14	2498.5832228660583
THOI	GC	1000	30	10000	15	3066.0015897750854
THOI	GC	1000	30	10000	16	3281.753938436508
THOI	GC	1000	30	10000	17	3102.4757268428802
THOI	GC	1000	30	10000	18	2908.8916540145874
THOI	GC	1000	30	10000	19	2064.4635894298553
THOI	GC	1000	30	10000	20	1322.9182243347168
THOI	GC	1000	30	10000	21	682.8854331970215
THOI	GC	1000	30	10000	22	337.32482647895813
THOI	GC	1000	30	10000	23	126.22668504714966
THOI	GC	1000	30	10000	24	38.77251172065735
THOI	GC	1000	30	10000	25	13.36173415184021
THOI	GC	1000	30	10000	26	4.201921701431274
THOI	GC	1000	30	10000	27	0.7679462432861328
THOI	GC	1000	30	10000	28	0.14406299591064453
THOI	GC	1000	30	10000	29	0.02220892906188965
THOI	GC	1000	30	20000	3	0.03995704650878906
THOI	GC	1000	30	20000	4	0.18166255950927734
THOI	GC	1000	30	20000	5	0.9363296031951904
THOI	GC	1000	30	20000	6	3.031808853149414
THOI	GC	1000	30	20000	7	11.573449850082397
THOI	GC	1000	30	20000	8	36.03862404823303
THOI	GC	1000	30	20000	9	102.94401264190674
THOI	GC	1000	30	20000	10	252.10976481437683
THOI	GC	1000	30	20000	11	526.978709936142
THOI	GC	1000	30	20000	12	968.4593634605408
THOI	GC	1000	30	20000	13	1546.055307149887
THOI	GC	1000	30	20000	14	2174.266891479492
THOI	GC	1000	30	20000	15	2808.0512726306915
THOI	GC	1000	30	20000	16	2833.7663397789
THOI	GC	1000	30	20000	17	2692.5556309223175
THOI	GC	1000	30	20000	18	2533.7379446029663
THOI	GC	1000	30	20000	19	1795.5158116817474
THOI	GC	1000	30	20000	20	1136.288571357727
THOI	GC	1000	30	20000	21	610.4035491943359
THOI	GC	1000	30	20000	22	281.44343852996826
THOI	GC	1000	30	20000	23	108.09316849708557
THOI	GC	1000	30	20000	24	35.24196910858154
THOI	GC	1000	30	20000	25	9.323524475097656
THOI	GC	1000	30	20000	26	2.1034646034240723
THOI	GC	1000	30	20000	27	0.36714649200439453
THOI	GC	1000	30	20000	28	0.044466495513916016
THOI	GC	1000	30	20000	29	0.008986711502075195
THOI	GC	1000	30	30000	3	0.31389379501342773
THOI	GC	1000	30	30000	4	0.0915830135345459
THOI	GC	1000	30	30000	5	0.523369550704956
THOI	GC	1000	30	30000	6	2.3638298511505127
THOI	GC	1000	30	30000	7	8.952793598175049
THOI	GC	1000	30	30000	8	30.93292236328125
THOI	GC	1000	30	30000	9	93.75040292739868
THOI	GC	1000	30	30000	10	243.77691268920898
THOI	GC	1000	30	30000	11	550.486930847168
THOI	GC	1000	30	30000	12	916.1502020359039
THOI	GC	1000	30	30000	13	1460.6993255615234
THOI	GC	1000	30	30000	14	2071.350873708725
THOI	GC	1000	30	30000	15	2717.1102776527405
THOI	GC	1000	30	30000	16	2894.483906507492
THOI	GC	1000	30	30000	17	2812.604067325592
THOI	GC	1000	30	30000	18	2649.642053127289
THOI	GC	1000	30	30000	19	1899.3494622707367
THOI	GC	1000	30	30000	20	1217.8095350265503
THOI	GC	1000	30	30000	21	634.7898416519165
THOI	GC	1000	30	30000	22	297.0270972251892
THOI	GC	1000	30	30000	23	106.3843424320221
THOI	GC	1000	30	30000	24	47.76638174057007
THOI	GC	1000	30	30000	25	11.405054330825806
THOI	GC	1000	30	30000	26	3.328869342803955
THOI	GC	1000	30	30000	27	0.3685917854309082
THOI	GC	1000	30	30000	28	0.043909549713134766
THOI	GC	1000	30	30000	29	0.007691621780395508
THOI	GC	1000	30	40000	3	0.02181529998779297
THOI	GC	1000	30	40000	4	0.14693522453308105
THOI	GC	1000	30	40000	5	0.6490139961242676
THOI	GC	1000	30	40000	6	3.0092098712921143
THOI	GC	1000	30	40000	7	11.234009504318237
THOI	GC	1000	30	40000	8	36.79631805419922
THOI	GC	1000	30	40000	9	99.36158776283264
THOI	GC	1000	30	40000	10	236.6435215473175
THOI	GC	1000	30	40000	11	508.5329177379608
THOI	GC	1000	30	40000	12	935.434401512146
THOI	GC	1000	30	40000	13	1489.9611506462097
THOI	GC	1000	30	40000	14	2121.1866266727448
THOI	GC	1000	30	40000	15	2658.845699071884
THOI	GC	1000	30	40000	16	2906.6468081474304
THOI	GC	1000	30	40000	17	2794.3599169254303
THOI	GC	1000	30	40000	18	2672.347354888916
THOI	GC	1000	30	40000	19	1929.3341779708862
THOI	GC	1000	30	40000	20	1179.7104442119598
THOI	GC	1000	30	40000	21	633.3999102115631
THOI	GC	1000	30	40000	22	288.20820569992065
THOI	GC	1000	30	40000	23	107.99366426467896
THOI	GC	1000	30	40000	24	54.38937163352966
THOI	GC	1000	30	40000	25	9.982821226119995
THOI	GC	1000	30	40000	26	1.905411958694458
THOI	GC	1000	30	40000	27	0.312528133392334
THOI	GC	1000	30	40000	28	0.043862342834472656
THOI	GC	1000	30	40000	29	0.008349418640136719
THOI	GC	1000	30	50000	3	0.0218503475189209
THOI	GC	1000	30	50000	4	0.12842464447021484
THOI	GC	1000	30	50000	5	0.664344310760498
THOI	GC	1000	30	50000	6	2.983412027359009
THOI	GC	1000	30	50000	7	11.296006202697754
THOI	GC	1000	30	50000	8	35.958733558654785
THOI	GC	1000	30	50000	9	99.77934646606445
THOI	GC	1000	30	50000	10	243.04893827438354
THOI	GC	1000	30	50000	11	508.8129713535309
THOI	GC	1000	30	50000	12	938.1189987659454
THOI	GC	1000	30	50000	13	1493.2846720218658
THOI	GC	1000	30	50000	14	2145.8491463661194
THOI	GC	1000	30	50000	15	2541.5159265995026
THOI	GC	1000	30	50000	16	2731.693867444992
THOI	GC	1000	30	50000	17	2622.976678609848
THOI	GC	1000	30	50000	18	2439.2380435466766
THOI	GC	1000	30	50000	19	1760.7797045707703
THOI	GC	1000	30	50000	20	1101.6822628974915
THOI	GC	1000	30	50000	21	588.0544168949127
THOI	GC	1000	30	50000	22	270.64384055137634
THOI	GC	1000	30	50000	23	104.11097264289856
THOI	GC	1000	30	50000	24	34.13356828689575
THOI	GC	1000	30	50000	25	9.025669813156128
THOI	GC	1000	30	50000	26	2.0678579807281494
THOI	GC	1000	30	50000	27	0.329540491104126
THOI	GC	1000	30	50000	28	0.04672503471374512
THOI	GC	1000	30	50000	29	0.010489940643310547
THOI	GC	1000	30	60000	3	0.03492116928100586
THOI	GC	1000	30	60000	4	0.12561535835266113
THOI	GC	1000	30	60000	5	0.7074282169342041
THOI	GC	1000	30	60000	6	3.2233097553253174
THOI	GC	1000	30	60000	7	11.689729690551758
THOI	GC	1000	30	60000	8	36.69929385185242
THOI	GC	1000	30	60000	9	101.78669548034668
THOI	GC	1000	30	60000	10	242.7558205127716
THOI	GC	1000	30	60000	11	505.4944734573364
THOI	GC	1000	30	60000	12	934.3367323875427
THOI	GC	1000	30	60000	13	1490.7391622066498
THOI	GC	1000	30	60000	14	2081.060717344284
THOI	GC	1000	30	60000	15	2550.892286300659
