sample size	iteration	time
1000	0	0.141
1000	1	0.072
1000	2	0.058
1000	3	0.038
1000	4	0.046
1000	5	0.031
1000	6	0.035
1000	7	0.031
1000	8	0.029
1000	9	0.031
1000	10	0.031
1000	11	0.03
1000	12	0.028
1000	13	0.041
1000	14	0.028
1000	15	0.028
1000	16	0.032
1000	17	0.028
1000	18	0.037
1000	19	0.035
1000	20	0.029
1000	21	0.032
1000	22	0.026
1000	23	0.029
1000	24	0.028
1000	25	0.024
1000	26	0.027
1000	27	0.028
1000	28	0.032
1000	29	0.026
1000	30	0.026
1000	31	0.028
1000	32	0.033
1000	33	0.027
1000	34	0.039
1000	35	0.042
1000	36	0.028
1000	37	0.028
1000	38	0.026
1000	39	0.025
1000	40	0.031
1000	41	0.027
1000	42	0.028
1000	43	0.028
1000	44	0.031
1000	45	0.027
1000	46	0.043
1000	47	0.026
1000	48	0.026
1000	49	0.023
1000	50	0.029
1000	51	0.041
1000	52	0.034
1000	53	0.028
1000	54	0.026
1000	55	0.039
1000	56	0.028
1000	57	0.031
1000	58	0.028
1000	59	0.03
1000	60	0.033
1000	61	0.026
1000	62	0.027
1000	63	0.028
1000	64	0.025
1000	65	0.024
1000	66	0.029
1000	67	0.028
1000	68	0.026
1000	69	0.024
1000	70	0.025
1000	71	0.024
1000	72	0.03
1000	73	0.034
1000	74	0.025
1000	75	0.029
1000	76	0.027
1000	77	0.029
1000	78	0.024
1000	79	0.025
1000	80	0.029
1000	81	0.028
1000	82	0.028
1000	83	0.028
1000	84	0.029
1000	85	0.028
1000	86	0.027
1000	87	0.026
1000	88	0.026
1000	89	0.029
1000	90	0.027
1000	91	0.036
1000	92	0.025
1000	93	0.027
1000	94	0.025
1000	95	0.029
1000	96	0.028
1000	97	0.028
1000	98	0.024
1000	99	0.025
5000	0	0.203
5000	1	0.205
5000	2	0.212
5000	3	0.189
5000	4	0.191
5000	5	0.213
5000	6	0.192
5000	7	0.209
5000	8	0.193
5000	9	0.208
5000	10	0.216
5000	11	0.19
5000	12	0.216
5000	13	0.197
5000	14	0.194
5000	15	0.196
5000	16	0.193
5000	17	0.192
5000	18	0.216
5000	19	0.189
5000	20	0.196
5000	21	0.188
5000	22	0.189
5000	23	0.205
5000	24	0.195
5000	25	0.19
5000	26	0.19
5000	27	0.197
5000	28	0.196
5000	29	0.197
5000	30	0.227
5000	31	0.208
5000	32	0.211
5000	33	0.206
5000	34	0.193
5000	35	0.2
5000	36	0.197
5000	37	0.19
5000	38	0.216
5000	39	0.191
5000	40	0.195
5000	41	0.195
5000	42	0.192
5000	43	0.194
5000	44	0.204
5000	45	0.194
5000	46	0.194
5000	47	0.193
5000	48	0.196
5000	49	0.201
5000	50	0.195
5000	51	0.207
5000	52	0.191
5000	53	0.193
5000	54	0.203
5000	55	0.216
5000	56	0.2
5000	57	0.196
5000	58	0.209
5000	59	0.199
5000	60	0.221
5000	61	0.198
5000	62	0.193
5000	63	0.193
5000	64	0.208
5000	65	0.193
5000	66	0.194
5000	67	0.193
5000	68	0.194
5000	69	0.213
5000	70	0.202
5000	71	0.197
5000	72	0.194
5000	73	0.194
5000	74	0.197
5000	75	0.2
5000	76	0.196
5000	77	0.192
5000	78	0.193
5000	79	0.198
5000	80	0.197
5000	81	0.206
5000	82	0.195
5000	83	0.198
5000	84	0.204
5000	85	0.212
5000	86	0.193
5000	87	0.195
5000	88	0.198
5000	89	0.195
5000	90	0.203
5000	91	0.193
5000	92	0.191
5000	93	0.196
5000	94	0.198
5000	95	0.198
5000	96	0.203
5000	97	0.195
5000	98	0.192
5000	99	0.194
10000	0	0.605
10000	1	0.55
10000	2	0.552
10000	3	0.504
10000	4	0.496
10000	5	0.503
10000	6	0.509
10000	7	0.513
10000	8	0.513
10000	9	0.502
10000	10	0.518
10000	11	0.512
10000	12	0.52
10000	13	0.503
10000	14	0.503
10000	15	0.509
10000	16	0.553
10000	17	0.504
10000	18	0.517
10000	19	0.508
10000	20	0.508
10000	21	0.561
10000	22	0.51
10000	23	0.506
10000	24	0.519
10000	25	0.51
10000	26	0.502
10000	27	0.506
10000	28	0.508
10000	29	0.503
10000	30	0.552
10000	31	0.512
10000	32	0.56
10000	33	0.501
10000	34	0.564
10000	35	0.507
10000	36	0.516
10000	37	0.55
10000	38	0.519
10000	39	0.507
10000	40	0.517
10000	41	0.512
10000	42	0.525
10000	43	0.517
10000	44	0.525
10000	45	0.513
10000	46	0.52
10000	47	0.518
10000	48	0.517
10000	49	0.51
10000	50	0.54
10000	51	0.51
10000	52	0.516
10000	53	0.514
10000	54	0.512
10000	55	0.517
10000	56	0.532
10000	57	0.527
10000	58	0.519
10000	59	0.572
10000	60	0.534
10000	61	0.521
10000	62	0.513
10000	63	0.578
10000	64	0.512
10000	65	0.548
10000	66	0.514
10000	67	0.534
10000	68	0.538
10000	69	0.527
10000	70	0.514
10000	71	0.523
10000	72	0.554
10000	73	0.523
10000	74	0.517
10000	75	0.526
10000	76	0.516
10000	77	0.573
10000	78	0.516
10000	79	0.53
10000	80	0.534
10000	81	0.516
10000	82	0.517
10000	83	0.518
10000	84	0.521
10000	85	0.566
10000	86	0.518
10000	87	0.51
10000	88	0.525
10000	89	0.52
10000	90	0.53
10000	91	0.514
10000	92	0.522
10000	93	0.518
10000	94	0.519
10000	95	0.52
10000	96	0.523
10000	97	0.527
10000	98	0.527
10000	99	0.518
15000	0	0.934
15000	1	1.007
15000	2	0.955
15000	3	0.937
15000	4	1.037
15000	5	0.93
15000	6	0.933
15000	7	0.935
15000	8	0.931
15000	9	0.931
15000	10	0.949
15000	11	1.006
15000	12	0.956
15000	13	0.935
15000	14	1.08
15000	15	0.93
15000	16	1.047
15000	17	0.941
15000	18	0.947
15000	19	0.973
15000	20	0.936
15000	21	0.946
